Mall,Category,Store,Area
Grand Indonesia,Standard restaurant,4Fingers,West Mall level LG
Grand Indonesia,Pastry & Bakery,7 AM Bakers,East Mall level LG
Grand Indonesia,Standard restaurant,Abura Soba Yamatoten,West Mall level 3A
Grand Indonesia,Beverages only,ACAII,East Mall level LG
Grand Indonesia,Beverages only,Acaraki,East Mall level LG
Grand Indonesia,Pastry & Bakery,Artirasa,East Mall level LG
Grand Indonesia,Standard restaurant,Atmos Otaku,Skybridge level 2
Grand Indonesia,Light bites,Auntie Anne’s,West Mall level LG
Grand Indonesia,Standard restaurant,Ayara Thai Grill & Hotpot,East Mall level 5
Grand Indonesia,Light bites,Baby Dutch Pancake,West Mall level 3A
Grand Indonesia,Standard restaurant,Baia Nonna,East Mall level LG
Grand Indonesia,Fast food,Bakmi GM,FOODPRINT (West Mall level 5)
Grand Indonesia,Pastry & Bakery,Bakpau A Satu,West Mall level LG
Grand Indonesia,Fast food,Bakso Afung,FOODPRINT (West Mall level 5)
Grand Indonesia,Standard restaurant,Bakso Tjap Bima,East Mall level 5
Grand Indonesia,Beverages only,Ban Ban,West Mall level 3A
Grand Indonesia,Standard restaurant,Bastian,East Mall level Ground
Grand Indonesia,Desserts,Beard Papa’s,East Mall level LG
Grand Indonesia,Standard restaurant,Bellamama,Skybridge level 3A
Grand Indonesia,Pastry & Bakery,Best Friend Bakery,West Mall level LG
Grand Indonesia,Cafe,Bleum Coffee,East Mall level 3A
Grand Indonesia,Fast food,Bogana May May,FOODPRINT (West Mall level 5)
Grand Indonesia,Light bites,Bon Bon Bites,West Mall level LG
Grand Indonesia,Pastry & Bakery,Bonjour,West Mall level LG
Grand Indonesia,Pastry & Bakery,Bonjour (East Mall),East Mall level LG
Grand Indonesia,Beverages only,Boost Juice,West Mall level 3A
Grand Indonesia,Cafe,Cafe Kissa,East Mall level Ground
Grand Indonesia,Standard restaurant,Caffe Milano,East Mall level Ground
Grand Indonesia,Standard restaurant,CGV Kitchen,West Mall level 8
Grand Indonesia,Standard restaurant,Chateraise,East Mall level 3A
Grand Indonesia,Beverages only,Chatime Atealier,East Mall level 3A
Grand Indonesia,Beverages only,CHICHA San Chen,East Mall level 3
Grand Indonesia,Light bites,Cinnabon,East Mall level 3A
Grand Indonesia,High-end restaurant,Coach Restaurant,West Mall level Ground
Grand Indonesia,Standard restaurant,Coco Ichibanya,West Mall level 3A
Grand Indonesia,Desserts,Cold Stone,West Mall level LG
Grand Indonesia,Standard restaurant,Crystal Jade Hongkong Kitchen,Skybridge level 3A
Grand Indonesia,Fast food,D’Crepes,FOODPRINT (West Mall level 5)
Grand Indonesia,Cafe,Djournal (Cafe Kissa),East Mall level Ground
Grand Indonesia,Cafe,Djournal Coffee,West Mall level Ground
Grand Indonesia,Pastry & Bakery,Don Bakeshop,Skybridge level 3A
Grand Indonesia,Fast food,Doner Kebab,FOODPRINT (West Mall level 5)
Grand Indonesia,Standard restaurant,Donut of Curiosity,West Mall level 1
Grand Indonesia,Desserts,Dore by LeTAO,West Mall level LG
Grand Indonesia,Desserts,Dough Lab,West Mall level LG
Grand Indonesia,Desserts,Doughzen,Skybridge level 3A
Grand Indonesia,Fast food,DQ Dairy Queen,FOODPRINT (West Mall level 5)
Grand Indonesia,High-end restaurant,Dragon Hot Pot,West Mall level LG
Grand Indonesia,Standard restaurant,Dynamic Bakery (Under Renovation),East Mall level 3
Grand Indonesia,Standard restaurant,East Quarter,East Mall level LG
Grand Indonesia,Beverages only,Endorphins,East Mall level LG
Grand Indonesia,Fast food,Esteboo,FOODPRINT (West Mall level 5)
Grand Indonesia,Fast food,FamiCafe,FOODPRINT (West Mall level 5)
Grand Indonesia,Fast food,Fiesta Steak,FOODPRINT (West Mall level 5)
Grand Indonesia,Standard restaurant,Fin's Recipe,West Mall level LG
Grand Indonesia,Pastry & Bakery,First Love? Patisserie,West Mall level LG
Grand Indonesia,Fast food,Five Monkeys Burger (Under Renovation),FOODPRINT (West Mall level 5)
Grand Indonesia,Standard restaurant,Foek Lam,West Mall level 3A
Grand Indonesia,High-end restaurant,Fogo,West Mall level 3A
Grand Indonesia,Desserts,Fore Donut,East Mall level Ground
Grand Indonesia,Desserts,Fudgybro,Skybridge level 3A
Grand Indonesia,Standard restaurant,Gaga,West Mall level LG
Grand Indonesia,Standard restaurant,Genki Sushi,West Mall level 2
Grand Indonesia,Light bites,Gindaco,East Mall level 3A
Grand Indonesia,Desserts,Godiva,West Mall level LG
Grand Indonesia,Fast food,Golden Lamian,FOODPRINT (West Mall level 5)
Grand Indonesia,All-you-can-eat & Grill,Gyukaku,West Mall level 3A
Grand Indonesia,Desserts,Haagen Dazs,West Mall level 3A
Grand Indonesia,High-end restaurant,Haidilao Hot Pot,East Mall level UG
Grand Indonesia,Standard restaurant,Haraku Ramen,West Mall level 3A
